"key","uk","ru"
"products.kolye.7724.description","","Элегантное серебряное колье с вставкой перламутр. Диаметр клевера – 1 см. Длина регулируется – 40-45 см."
"products.kolye.7724.title","","Серебряное колье перламутр Клевер 1.5 см"
"products.kolye.7729.description","","Элегантное серебряное колье с ониксом. Диаметр клевера – 1 см. Длина регулируется – 40-45 см. "
"products.kolye.7729.title","","Серебряное колье оникс Клевер 1 см"
"products.kolye.7746.description","","Женское серебряное колье с белыми фианитами. Длина регулируется – 40-45 см."
"products.kolye.7746.title","","Серебряное колье Птичка с белыми фианитами"
"products.kolye.7753.description","","Серебряное колье с подвеской в виде птички с голубыми и желтыми фианитами. Длина регулируется – 40-45 см. "
"products.kolye.7753.title","","Серебряное колье Птичка с голубовато-желтыми фианитами"
"products.kolye.7943.description","","Серебряное колье «Крылья ангела» украшено россыпью фианитов. Длина регулируется – 40-45 см."
"products.kolye.7943.title","","Серебряное колье Крылья ангела"
"products.kolye.8025.description","","Женское серебряное колье с подвеской в виде сердца, украшенной фианитами. Длина регулируется – 40-45 см."
"products.kolye.8025.title","","Женское колье из серебра 925 пробы Сердце в фианитах"
"products.kolye.8257.description","","Минималистичное серебряное колье с подвеской в виде сердца. Длина регулируется – 40-45 см."
"products.kolye.8257.title","","Серебряное колье «Heart»"
"products.kolye.8605.description","","Элегантное серебряное колье с красным фианитом. Длина регулируется – 40-45 см."
"products.kolye.8605.title","","Серебряное колье Красное Сердце"
"products.kolye.8670.description","","Серебряное колье в минималистическом стиле с сердцем. Длина регулируется – 40-45 см."
"products.kolye.8670.title","","Серебряное колье в минималистическом стиле"
"products.kolye.8673.description","","Серебряное колье с подвеской в форме луны. Длина регулируется – 40-45 см."
"products.kolye.8673.title","","Серебряное колье «Луна»"
"products.kolye.8741.description","","Элегантное серебряное колье со вставкой малахит. Диаметр клевера – 1,5 см. Длина регулируется – 40-45 см."
"products.kolye.8741.title","","Серебряное колье малахит Клевер 1.5 см"
"products.kolye.8774.description","","Элегантное серебряное колье на три вставки с ониксом. Длина регулируется – 40-45 см. "
"products.kolye.8774.title","","Серебряное колье с ониксом Клевер 3 вставки"
"products.kolye.8824.description","","Стильное серебряное колье со вставкой оникс и куб.цирконием. Длина регулируется – 40-45 см."
"products.kolye.8824.title","","Женское колье из серебра 925° с ониксом Клевер"
"products.sergi.2407.description","","Серебряные серьги-гвоздики с россыпью фианитов."
"products.sergi.2407.title","","Серебряные пусеты в виде Сердца"
"products.sergi.2464.description","","Элегантные серебряные пусеты со вставкой черная эмаль."
"products.sergi.2464.title","","Серебряные пусеты Сердце эмаль"
"products.sergi.2465.description","","Серебряные пусеты со вставкой из черной эмали."
"products.sergi.2465.title","","Серебряные пусеты Клевер эмаль черная"
"products.sergi.2807.description","","Изысканные серебряные серьги с россыпью фианитов."
"products.sergi.2807.title","","Женские серьги с фианитами Клевер с фианитами"
"products.sergi.3931.description","","Изысканные серебряные серьги с дорожкой из фианитов и вставкой из золота 375°. "
"products.sergi.3931.title","","Серебряные серьги со вставкой золото 375°"
"products.sergi.3942.description","","Минималистичные пусеты с дорожкой из фианитов. "
"products.sergi.3942.title","","Серебряные пусеты Круг"
"products.sergi.4679.description","","Серебряные серьги со вставками синих и желтых фианитов."
"products.sergi.4679.title","","Серебряные серьги Патриотические"
"products.sergi.4693.description","","Женские пусеты из серебра 925 пробы с ониксом и фианитами."
"products.sergi.4693.title","","Серебряные пусеты с ониксом и фианитами «Клевер»"
"products.sergi.4700.description","","Серебряные женские пусеты с ониксом. Диаметр клевера – 1 см."
"products.sergi.4700.title","","Серебряные пусеты оникс Клевер 1 см"
"products.sergi.4723.description","","Элегантные серьги из серебра 925 пробы с перламутром и фианитами."
"products.sergi.4723.title","","Серебряные серьги Клевер с перламутром и фианитами"
"products.sergi.4945.description","","Элегантные серьги из серебра 925 пробы с перламутром и фианитами."
"products.sergi.4945.title","","Серебряные серьги Клевер с перламутром и фианитами"
"products.sergi.5030.description","","Серебряные женские серьги с ониксом. Диаметр клевера – 1,3 см."
"products.sergi.5030.title","","Серебряные серьги оникс Клевер 1,3 см"
"products.sergi.5042.description","","Серебряные пусеты со вставкой из красной эмали."
"products.sergi.5042.title","","Серебряные пусеты Клевер эмель красная"
"products.sergi.5142.description","","Серебряные женские серьги с малахитом. Диаметр клевера – 1,5 см."
"products.sergi.5142.title","","Серебряные серьги с малахитом Клевер 1,5 см"
"products.sergi.5161.description","","Серебряные женские серьги с малахитом. Диаметр клевера - 1,5 см."
"products.sergi.5161.title","","Серебряные серьги с малахитом Клевер 1,5 см"
"products.sergi.5468.description","","Стильные пусеты из серебра 925 пробы с фианитами."
"products.sergi.5468.title","","Пусеты из серебра 925 пробы Сердце с фианитами"
"products.sergi.5724.description","","Серебряные женские серьги с ониксом. Диаметр клевера – 1 см."
"products.sergi.5724.title","","Серьги из серебра 925 пробы оникс Клевер 1 см"
"products.sergi.6863.description","","Серебряные серьги со вставкой золото 375°."
"products.sergi.6863.title","","Серебряные пусеты Сердце золото 375°"
"products.sergi.7015.description","","Элегантные серебряные серьги с прозрачными фианитами."
"products.sergi.7015.title","","Серебряные серьги Сердце"
"products.sergi.7016.description","","Серьги-протяжки из серебра 925 пробы с фианитами."
"products.sergi.7016.title","","Серебряные серьги-протяжки Сердце"
"products.sergi.7858.description","","Серебряные серьги-конго с дорожкой из фианитов."
"products.sergi.7858.title","","Серебряные серьги-конго с фианитами"
"products.sergi.7870.description","","Серебряные серьги-гвоздики с родиевым покрытием и фианитами."
"products.sergi.7870.title","","Серебряные серьги гвоздики Два круга"
"products.sergi.7983.description","","Серебряные серьги в минималистическом стиле. "
"products.sergi.7983.title","","Минималистичные серебряные серьги из серебра"
"products.sergi.7984.description","","Минималистичные серебряные серьги на каждый день."
"products.sergi.7984.title","","Минималистичные серьги из серебра 925 пробы"
"products.sergi.7993.description","","Нежные серебряные пусеты с россыпью фианитов."
"products.sergi.7993.title","","Женские пусеты с фианитами Клевер"
"products.sergi.8072.description","","Минималистичные пусеты из серебра 925 пробы."
"products.sergi.8072.title","","Серебряные пусеты «Сердце»"
"products.sergi.8256.description","","Минималистичные пусеты из серебра 925 пробы."
"products.sergi.8256.title","","Серебряные пусеты «Сердце»"
"products.sergi.8293.description","","Стильные пусеты выполнены из серебра 925 пробы и украшены фианитами."
"products.sergi.8293.title","","Серебряные пусеты с фианитами"
"products.sergi.8624.description","","Серебряные пусеты с красным фианитом и россыпью прозрачных фианитов."
"products.sergi.8624.title","","Серебряные пусеты Рубиновое Сердце"
"products.sergi.8626.description","","Серебряные пусеты в виде сердца с фианитами."
"products.sergi.8626.title","","Серебряные пусеты Сердце"
"products.sergi.8631.description","","Стильные серебряные пусеты с россыпью фианитов."
"products.sergi.8631.title","","Пусеты серебро 925° с фианитами"
"products.sergi.8636.description","","Серебряные серьги с позолотой и вставкой перламутр."
"products.sergi.8636.title","","Серебряные серьги с позолотой и перламутром Клевер"
"products.sergi.8637.description","","Серебряные серьги в виде Четырехлистника с английской защелкой. Серьги имеют родиевое покрытие и украшены фианитами."
"products.sergi.8637.title","","Серебряные серьги Четырехлистник в камушках"
"products.sergi.8733.description","","Стильные серьги из серебра 925 пробы с ониксом и куб.цирконием."
"products.sergi.8733.title","","Серьги из серебра 925° с ониксом и куб.цирконием Клевер"
"products.sergi.8736.description","","Изящные женские серьги из серебра 925 пробы со вставками фианитов."
"products.sergi.8736.title","","Серьги серебро 925° Клевер в камушках"
"products.sergi.8738.description","","Серебряные женские серьги с перламутром. Диаметр клевера – 1,5 см."
"products.sergi.8738.title","","Серебряные серьги с перламутром Клевер 1,5 см"
"products.sergi.8740.description","","Серебряные женские серьги Клевер со вставкой перламутр от Daisy Jewellery"
"products.sergi.8740.title","","Серебряные серьги перламутр Клевер 1 см"
"products.sergi.8742.description","","Серебряные женские серьги с ониксом. Диаметр клевера – 1,5 см."
"products.sergi.8742.title","","Серебряные серьги оникс Клевер 1,5 см"
"products.sergi.8744.description","","Серебряные женские серьги с малахитом. Диаметр клевера – 1 см."
"products.sergi.8744.title","","Серебряные серьги малахит Клевер 1 см"
"products.sergi.8758.description","","Серебряные женские пусеты с ониксом. Диаметр клевера – 1,5 см."
"products.sergi.8758.title","","Серебряные пусеты оникс Клевер 1,5 см"
"products.sergi.8827.description","","Элегантные серьги из серебра 925 пробы с нефритом и куб.цирконием. "
"products.sergi.8827.title","","Серебряные женские серьги с нефритом Клевер"
"products.sergi.8860.description","","Изысканные серьги из серебра 925 пробы с ониксом и фианитами."
"products.sergi.8860.title","","Серебряные серьги Клевер с ониксом и фианитами"
"products.sergi.9531.description","","Женские серьги «Клевер» из серебра 925 пробы в позолоте. Вставка – оникс и фианиты."
"products.sergi.9531.title","","Серебряные серьги «Клевер» в позолоте с ониксом"
